y	H_median	S_median	V_median
4	15	0.3768	0.1608
2	20	0.3878	0.2118
3	15.3488	0.587	0.2078
3	16.9231	0.5672	0.251
3	17.3684	0.6441	0.2
4	12	0.475	0.1608
3	18.9474	0.5472	0.1882
3	20	0.5641	0.1608
3	18.75	0.58	0.2275
4	15	0.4074	0.1451
4	15	0.3824	0.1608
3	10.5882	0.4615	0.1569
2	18.1132	0.5402	0.2902
3	16.9231	0.5532	0.2039
3	15	0.62	0.1961
3	15.4839	0.58	0.1922
4	10.9091	0.5	0.1686
4	10.9091	0.4359	0.1725
4	12	0.3226	0.149
3	17.3684	0.5909	0.1961
4	10.9091	0.4727	0.1294
3	19.0909	0.5349	0.1529
1	35.2941	0.1985	0.2118
3	15.5556	0.5909	0.1647
3	12.5581	0.4419	0.1961
3	16.1538	0.325	0.1725
3	13.6364	0.5246	0.2471
2	19.2	0.5821	0.2431
3	18.9474	0.4909	0.1882
3	15	0.5098	0.1765
2	16.9231	0.4914	0.2471
2	18.6207	0.5574	0.1843
3	15.5556	0.5319	0.1725
4	12	0.4483	0.1176
4	12	0.2927	0.1608
1	24.6154	0.5119	0.3098
3	15.5556	0.6038	0.2314
2	17.6471	0.5735	0.251
3	15	0.475	0.2
4	10.5882	0.3871	0.1608
3	15.4839	0.5893	0.2118
3	16.3636	0.5179	0.1882
2	18.1132	0.5833	0.2667
4	12	0.3125	0.1647
3	15.3488	0.6098	0.2549
3	15.4839	0.5128	0.2118
4	16	0.3333	0.1373
3	14.4	0.45	0.1961
3	16.0976	0.5102	0.2039
4	16	0.3704	0.1255
1	34	0.3285	0.2706
4	16	0.2857	0.1176
3	11.5385	0.5188	0.2039
3	13.8462	0.5273	0.2157
2	21.9512	0.566	0.2941
3	16.1538	0.4688	0.1725
3	15.5556	0.5532	0.1882
3	15.5556	0.4706	0.1765
4	19.0909	0.4048	0.1647
4	16.1538	0.3438	0.1216
4	12	0.4048	0.1608
4	21.4286	0.3333	0.1176
4	16	0.4242	0.1529
4	18.9474	0.4681	0.1255
4	12	0.3793	0.1137
1	27.6923	0.2885	0.1765
4	14.4	0.4	0.1725
4	16	0.325	0.1059
4	22.5	0.32	0.1294
4	22.5	0.28	0.1137
4	18.9474	0.3488	0.1569
4	16.3636	0.3429	0.1255
4	16.3636	0.4091	0.1098
3	10.4348	0.3939	0.1373
3	17.5	0.4222	0.1608
3	18.9474	0.3939	0.1373
4	22.5	0.3226	0.1098
4	19.0909	0.4762	0.098
4	21.4286	0.3684	0.102
4	19.0909	0.4688	0.1333
4	21.1765	0.4	0.1216
4	32.7273	0.2917	0.0824
2	26.25	0.4074	0.1569
3	17.5	0.4043	0.1412
2	19.2	0.375	0.1451
4	25.7143	0.3425	0.0745
2	19.0909	0.5	0.1765
4	17.5	0.5736	0.1294
4	16.3636	0.4	0.102
2	26.4	0.4103	0.1725
4	18.9474	0.4444	0.102
4	16	0.4	0.1098
4	16	0.3939	0.1294
4	21.4286	0.375	0.1137
4	16	0.3871	0.1098
4	16.3636	0.3548	0.1294
1	27.6923	0.375	0.1333
4	18.9474	0.4048	0.1412
4	21.4286	0.4737	0.0863
4	12	0.4138	0.098
4	21.4286	0.3235	0.1294
4	21.1765	0.3438	0.1373
4	25.7143	0.35	0.0863
4	18.9474	0.3611	0.1255
4	18.9474	0.3235	0.1373
4	16.3636	0.3636	0.1059
3	16	0.4535	0.1529
4	16	0.3913	0.1176
3	18.9474	0.4857	0.1255
2	25.7143	0.3514	0.149
3	16	0.4091	0.1098
3	22.8571	0.4419	0.149
3	17.5	0.5128	0.1608
2	18.9474	0.4412	0.1608
4	16	0.3438	0.1098
4	21.4286	0.44	0.0941
4	19.2	0.4681	0.1765
2	23.4783	0.4	0.1569
4	15	0.475	0.149
3	20	0.4545	0.149
1	22.2222	0.4651	0.1843
4	18.9474	0.3953	0.1255
2	21.1765	0.463	0.1922
3	16.1538	0.4762	0.1569
4	19.0909	0.4348	0.1137
4	25.7143	0.4118	0.0784
4	25.7143	0.3667	0.0902
4	16.3636	0.3214	0.1137
4	16	0.3421	0.1333
4	16.3636	0.2667	0.1216
4	16.3636	0.4074	0.1176
4	16.3636	0.409	0.1392
2	27.6923	0.3939	0.1216
2	22.5	0.4274	0.1922
2	26.6667	0.375	0.1137
2	18.9474	0.475	0.1373
4	25.7143	0.3478	0.102
4	16.3636	0.4231	0.1137
4	14.4	0.375	0.149
4	15	0.3846	0.1255
4	22.5	0.4667	0.1216
2	19.0909	0.5	0.2
2	23.4783	0.3611	0.1569
2	25.7143	0.375	0.0941
4	12	0.35	0.1137
4	21.4286	0.4	0.0902
4	16.3636	0.4516	0.1176
4	16.3636	0.3333	0.1137
1	30	0.5	0.1098
3	21.4286	0.4839	0.1255
3	19.2	0.4432	0.1412
3	20.1882	0.4375	0.1255
4	18.9474	0.5312	0.1294
2	22.5	0.4872	0.1412
3	21.1765	0.4828	0.1176
3	14.4	0.3871	0.1608
3	19.0909	0.3516	0.1647
4	25.7143	0.4	0.0824
3	21.4286	0.36	0.1137
4	16.3636	0.4138	0.1176
3	21.1765	0.3333	0.1255
3	12	0.375	0.1373
4	12	0.3939	0.1176
3	15.7778	0.3438	0.1529
3	16	0.4286	0.1216
1	26.25	0.3846	0.1294
4	16	0.4	0.102
3	21.1765	0.5455	0.1373
3	15	0.5952	0.1529
4	21.4286	0.4	0.1098
4	22.5	0.4286	0.1333
4	16.3636	0.4333	0.1059
4	21.4286	0.3913	0.1059
3	18.9474	0.3793	0.1294
2	19.2	0.4688	0.1451
4	21.1765	0.48	0.102
4	18.9474	0.4828	0.1176
3	16	0.3929	0.1216
3	22.8571	0.4651	0.1529
4	18.9474	0.5152	0.1255
4	18.9474	0.4688	0.1333
3	16	0.4651	0.1333
